question,answer,options.A,options.B,options.C,options.D,meta_info,answer_idx,metamap_phrases
"A junior orthopaedic surgery resident is completing a carpal tunnel repair with the department chairman as the attending physician. During the case, the resident inadvertently cuts a flexor tendon. The tendon is repaired without complication. The attending tells the resident that the patient will do fine, and there is no need to report this minor complication that will not harm the patient, as he does not want to make the patient worry unnecessarily. He tells the resident to leave this complication out of the operative report. Which of the following is the correct next action for the resident to take?",Tell the attending that he cannot fail to disclose this mistake,Disclose the error to the patient and put it in the operative report,Tell the attending that he cannot fail to disclose this mistake,Report the physician to the ethics committee,Refuse to dictate the operative report,step1,B,"[""junior orthopaedic surgery resident"",""completing"",""carpal tunnel repair"",""department chairman"",""attending physician"",""case"",""resident"",""cuts"",""flexor tendon"",""tendon"",""repaired"",""complication"",""attending"",""resident"",""patient"",""fine"",""need to report"",""minor complication"",""not"",""patient"",""not"",""to make"",""patient worry"",""resident to leave"",""complication out"",""operative report"",""following"",""correct next action"",""resident to take""]"
A 67-year-old man with transitional cell carcinoma of the bladder comes to the physician because of a 2-day history of ringing sensation in his ear. He received this first course of neoadjuvant chemotherapy 1 week ago. Pure tone audiometry shows a sensorineural hearing loss of 45 dB. The expected beneficial effect of the drug that caused this patient's symptoms is most likely due to which of the following actions?,Cross-linking of DNA,Inhibition of proteasome,Hyperstabilization of microtubules,Generation of free radicals,Cross-linking of DNA,step1,D,"[""67 year old man"",""transitional cell carcinoma of the bladder"",""physician"",""2-day history"",""ringing sensation"",""ear"",""received"",""first course"",""neoadjuvant chemotherapy 1 week"",""Pure tone audiometry shows"",""sensorineural hearing loss"",""dB"",""expected beneficial effect"",""drug"",""caused"",""patient's symptoms"",""most likely due to"",""following actions""]"
"Two weeks after undergoing an emergency cardiac catherization with stenting for unstable angina pectoris, a 61-year-old man has decreased urinary output and malaise. He has type 2 diabetes mellitus and osteoarthritis of the hips. Prior to admission, his medications were insulin and naproxen. He was also started on aspirin, clopidogrel, and metoprolol after the coronary intervention. His temperature is 38°C (100.4°F), pulse is 93/min, and blood pressure is 125/85 mm Hg. Examination shows mottled, reticulated purplish discoloration of the feet. Laboratory studies show:
Hemoglobin count 14 g/dL
Leukocyte count 16,400/mm3
Segmented neutrophils 56%
Eosinophils 11%
Lymphocytes 31%
Monocytes 2%
Platelet count 260,000/mm3
Erythrocyte sedimentation rate 68 mm/h
Serum
Urea nitrogen 25 mg/dL
Creatinine 4.2 mg/dL
Renal biopsy shows intravascular spindle-shaped vacuoles. Which of the following is the most likely cause of this patient's symptoms?""",Cholesterol embolization,Renal papillary necrosis,Cholesterol embolization,Eosinophilic granulomatosis with polyangiitis,Polyarteritis nodosa,step2&3,B,"[""Two weeks"",""emergency cardiac"",""stenting"",""unstable angina pectoris"",""61 year old man"",""decreased urinary output"",""malaise"",""type 2 diabetes mellitus"",""osteoarthritis of"",""hips"",""admission"",""medications"",""insulin"",""naproxen"",""started"",""aspirin"",""clopidogrel"",""metoprolol"",""coronary intervention"",""temperature"",""100 4F"",""pulse"",""min"",""blood pressure"",""85 mm Hg"",""Examination shows mottled"",""reticulated"",""discoloration"",""feet"",""Laboratory studies show"",""Hemoglobin count"",""Leukocyte 16"",""neutrophils"",""Platelet count"",""Erythrocyte sedimentation rate"",""h Serum Urea nitrogen"",""mg"",""Creatinine"",""mg"",""Renal biopsy shows intravascular spindle shaped vacuoles"",""following"",""most likely cause"",""patient"",""ymptoms?""]"
"A 39-year-old woman is brought to the emergency department because of fevers, chills, and left lower quadrant pain. Her temperature is 39.1°C (102.3°F), pulse is 126/min, respirations are 28/min, and blood pressure is 80/50 mm Hg. There is blood oozing around the site of a peripheral intravenous line. Pelvic examination shows mucopurulent discharge from the cervical os and left adnexal tenderness. Laboratory studies show:
Platelet count 14,200/mm3
Fibrinogen 83 mg/mL (N = 200–430 mg/dL)
D-dimer 965 ng/mL (N < 500 ng/mL)
When phenol is applied to a sample of the patient's blood at 90°C, a phosphorylated N-acetylglucosamine dimer with 6 fatty acids attached to a polysaccharide side chain is identified. A blood culture is most likely to show which of the following?""","Lactose-fermenting, gram-negative rods forming pink colonies on MacConkey agar","Coagulase-positive, gram-positive cocci forming mauve-colored colonies on methicillin-containing agar","Encapsulated, gram-negative coccobacilli forming grey-colored colonies on charcoal blood agar","Spore-forming, gram-positive bacilli forming yellow colonies on casein agar","Lactose-fermenting, gram-negative rods forming pink colonies on MacConkey agar",step1,D,"[""year old woman"",""brought"",""emergency department"",""fevers"",""chills"",""left lower quadrant pain"",""temperature"",""pulse"",""min"",""respirations"",""min"",""blood pressure"",""80 50 mm Hg"",""blood"",""site of"",""peripheral line"",""Pelvic examination shows mucopurulent discharge"",""cervical os"",""left adnexal tenderness"",""Laboratory studies show"",""Platelet count"",""200 mm3 Fibrinogen 83 mg/mL"",""N"",""mg/dL"",""D-dimer"",""ng/mL"",""N"",""500 ng/mL"",""phenol"",""applied"",""sample"",""patient"",""lood "",""cetylglucosamine  imer "",""atty acids  ttached "",""olysaccharide  ide  hain "",""dentified."",""lood culture "",""ost likely  o  how "",""ollowing?""]"
"A 35-year-old man comes to the physician because of itchy, watery eyes for the past week. He has also been sneezing multiple times a day during this period. He had a similar episode 1 year ago around springtime. He has iron deficiency anemia and ankylosing spondylitis. Current medications include ferrous sulfate, artificial tear drops, and indomethacin. He works as an elementary school teacher. His vital signs are within normal limits. Visual acuity is 20/20 without correction. Physical examination shows bilateral conjunctival injection with watery discharge. The pupils are 3 mm, equal, and reactive to light. Examination of the anterior chamber of the eye is unremarkable. Which of the following is the most appropriate treatment?",Ketotifen eye drops,Erythromycin ointment,Ketotifen eye drops,Warm compresses,Fluorometholone eye drops,step2&3,B,"[""35 year old man"",""physician"",""of itchy"",""watery"",""past week"",""sneezing multiple times"",""day"",""period"",""similar episode"",""year"",""iron deficiency anemia"",""ankylosing spondylitis"",""Current medications include ferrous sulfate"",""artificial tear drops"",""indomethacin"",""works"",""elementary school teacher"",""vital signs"",""normal limits"",""Visual acuity"",""20/20"",""correction"",""Physical examination shows bilateral injection"",""watery"",""pupils"",""3 mm"",""equal"",""reactive to light"",""Examination of the anterior chamber"",""eye"",""unremarkable"",""following"",""most appropriate treatment""]"
A 39-year-old man presents to the emergency department because of progressively worsening chest pain and nausea that started at a local bar 30 minutes prior. The pain radiates to the epigastric area. He has a 5-year history of untreated hypertension. He has smoked 1 pack of cigarettes daily for the past 5 years and started abusing cocaine 2 weeks before his emergency room visit. The patient is diaphoretic and in marked distress. What should be the first step in management?,Reassurance and continuous monitoring,Diltiazem,Labetalol,Propranolol,Reassurance and continuous monitoring,step2&3,D,"[""year old man presents"",""emergency department"",""worsening chest pain"",""nausea"",""started"",""local"",""30 minutes prior"",""pain radiates"",""epigastric area"",""5 year history of untreated hypertension"",""smoked 1 pack"",""cigarettes daily"",""past"",""years"",""started abusing cocaine 2 weeks"",""emergency room visit"",""patient"",""diaphoretic"",""marked distress"",""first step"",""management""]"
A 68-year-old male comes to the physician for evaluation of right flank pain. He has a history of diabetes and peripheral artery disease. His blood pressure is 160/90 mm Hg. Physical examination shows abdominal tenderness and right flank tenderness. An ultrasound shows dilation of the right ureter and renal pelvis. Which of the following is the most likely underlying cause of this patient's condition?,Common iliac artery aneurysm,Renal artery stenosis,Benign prostatic hyperplasia,Common iliac artery aneurysm,Urethral stricture,step1,C,"[""68 year old male"",""physician"",""evaluation"",""right flank pain"",""history"",""diabetes"",""peripheral artery disease"",""blood pressure"",""90 mm Hg"",""Physical examination shows abdominal tenderness"",""right"",""ultrasound shows dilation of"",""right ureter"",""renal pelvis"",""following"",""most likely underlying cause"",""patient's condition""]"
"A 65-year-old man is brought to the emergency department 30 minutes after the onset of acute chest pain. He has hypertension and asthma. Current medications include atorvastatin, lisinopril, and an albuterol inhaler. He appears pale and diaphoretic. His pulse is 114/min and blood pressure is 130/88 mm Hg. An ECG shows ST-segment depressions in leads II, III, and aVF. Laboratory studies show an increased serum troponin T concentration. The patient is treated for acute coronary syndrome and undergoes percutaneous transluminal coronary angioplasty. At the time of discharge, echocardiography shows a left ventricular ejection fraction of 58%. In addition to aspirin, which of the following drugs should be added to this patient's medication regimen?",Clopidogrel,Nifedipine,Enoxaparin,Clopidogrel,Spironolactone,step2&3,C,"[""65 year old man"",""brought"",""emergency department 30 minutes"",""onset of acute"",""hypertension"",""asthma"",""Current medications include atorvastatin"",""lisinopril"",""albuterol inhaler"",""appears pale"",""diaphoretic"",""pulse"",""min"",""blood pressure"",""88 mm Hg"",""ECG shows ST-segment depressions"",""leads"",""III"",""aVF"",""Laboratory studies show"",""increased serum troponin T concentration"",""patient"",""treated"",""acute coronary syndrome"",""percutaneous transluminal coronary angioplasty"",""time"",""discharge"",""echocardiography shows"",""left ventricular ejection fraction of 58"",""aspirin"",""following drugs"",""added"",""patient's medication regimen""]"
"A 37-year-old-woman presents to her primary care physician requesting a new form of birth control. She has been utilizing oral contraceptive pills (OCPs) for the past 8 years, but asks to switch to an intrauterine device (IUD). Her vital signs are: blood pressure 118/78 mm Hg, pulse 73/min and respiratory rate 16/min. She is afebrile. Physical examination is within normal limits. Which of the following past medical history statements would make copper IUD placement contraindicated in this patient?",Active or recurrent pelvic inflammatory disease (PID),A history of stroke or venous thromboembolism,Active or recurrent pelvic inflammatory disease (PID),Past medical history of breast cancer,Known liver neoplasm,step2&3,B,"[""year old woman presents"",""primary care physician requesting"",""new form"",""birth control"",""oral contraceptive pills"",""past"",""years"",""to switch"",""intrauterine device"",""vital signs"",""blood pressure"",""mm Hg"",""pulse"",""min"",""respiratory rate"",""min"",""afebrile"",""Physical examination"",""normal limits"",""of"",""following past medical statements"",""make copper IUD placement contraindicated"",""patient""]"
A 23-year-old woman comes to the physician because she is embarrassed about the appearance of her nails. She has no history of serious illness and takes no medications. She appears well. A photograph of the nails is shown. Which of the following additional findings is most likely in this patient?,Silvery plaques on extensor surfaces,Silvery plaques on extensor surfaces,Flesh-colored papules in the lumbosacral region,Erosions of the dental enamel,Holosystolic murmur at the left lower sternal border,step1,A,"[""23 year old woman"",""physician"",""embarrassed"",""appearance of"",""nails"",""history"",""serious illness"",""takes"",""medications"",""appears well"",""photograph"",""nails"",""shown"",""following additional findings"",""most likely"",""patient""]"
